ISO CODE;FEAT_NAME;LEVEL;CONTINENT;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
ISO CODE;FEAT_NAME;LEVEL;CONTINENT;FLD1;FLD2;FLD3;FLD4;FLD5;FLD6;FLD7;FLD8;FLD9;FLD10;FLD11;FLD12;FLD13;FLD14;FLD15;FLD16;FLD17;FLD18;FLD19;FLD20;FLD21;FLD22;FLD23;FLD24;FLD25;FLD26;FLD27
CG;République Du Congo;CTR;Afrique;1526200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1526200;0
CZ;République Tchèque;CTR;Europe;5906626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5090226;0;0;0;816400;0;0;0;0;0
RO;Roumanie;CTR;Europe;70733034;0;0;0;0;0;0;0;0;850000;0;0;0;0;0;0;0;0;0;0;0;69883034;0;0;0;0;0
GB;Royaume-Uni;CTR;Europe;350026033694;80886950;6762752659;0;11135061;138775426;10895312;2072289327;5304068;981526602;1519418035;0;0;45232377;41655789255;0;9052206;2258124027;169004245;25607500;3010122837;284115414996;0;3565191174;1631508581;1045424835;42646192
RU;Russie;CTR;Europe;958909479;0;0;0;0;0;0;0;0;4294408;16600000;0;0;729031;885380303;0;0;2178771;4274308;0;0;0;0;0;0;45452658;0
RW;Rwanda;CTR;Afrique;148278533;0;0;0;0;0;0;0;0;12627780;0;0;0;0;0;0;0;125485522;0;0;0;6375670;0;3279785;0;509776;0
SC;Seychelles;CTR;Afrique;383283459;0;0;0;0;0;0;81076286;0;0;213186325;0;0;0;0;0;0;79040851;0;0;0;9979997;0;0;0;0;0
SL;Sierra Leone;CTR;Afrique;50374630;0;0;0;0;0;0;0;0;0;979965;0;0;0;0;0;0;49394665;0;0;0;0;0;0;0;0;0
SG;Singapour ;CTR;Asie;9684103785;0;12440800;0;0;3474540;0;0;0;4800000;133777784;0;0;5931702;47322622;0;26050308;1509057110;0;0;2970000;5971924159;0;1919128596;0;47226165;0
SK;Slovaquie;CTR;Europe;13647614;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13647614;0;0;0
SI;Slovénie;CTR;Europe;15504135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15504135;0;0;0;0;0;0
SE;Suède;CTR;Europe;4379024757;0;0;0;0;0;0;0;0;0;0;0;0;16252467;4082554824;0;0;17889457;0;0;0;138089790;0;124238219;0;0;0
CH;Suisse;CTR;Europe;18515895999;0;700977685;0;71750058;263055812;2255000;1689591454;2378100;779927430;1164314767;2975000;74855189;168460551;665736324;0;107285828;1026725974;34413502;359267497;7663545;7141365718;0;2603243206;138312693;880925905;0
TW;Taïwan;CTR;Asie;27319835;0;27319835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TZ;Tanzanie;CTR;Afrique;115836946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28120636;8980000;0;0;77684288;0;0;0;0;0
TD;Tchad;CTR;Afrique;720082994;3750000;577262180;0;0;0;0;0;0;0;2596050;0;0;0;0;0;0;22474764;0;0;0;114000000;0;0;0;0;0
TN;Tunisie;CTR;Afrique;4370860223;0;1049552534;0;35929519;257632337;1562489;100616525;0;251891714;84913615;0;50421675;454760965;175485809;0;8069425;665798027;718800;11426771;271162727;111709219;0;251487115;0;581695335;0
TR;Turquie;CTR;Asie;1390629181;0;40013377;0;2955000;0;1311914;0;0;9645215;0;0;0;0;0;0;0;1070627887;2492637;3055000;65013376;10767651;0;9098123;0;175649001;0
VD;Vietnam;CTR;Asie;204055574;0;0;0;0;0;0;54378835;0;0;0;0;0;0;45530816;0;0;77796503;0;9800000;0;0;0;0;0;16549420;0
ZM;Zambie;CTR;Afrique;675559007;600000000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75559007;0;0;0;0;0;0;0;0;0
ZW;Zimbabwe;CTR;Afrique;2128020;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;694500;0;0;0;0;0;0;1433520;0;0
ISO_CODE;FEAT_NAME;LEVEL;Nom continent;Flux Total en Fcfa;AFRILAND FIRST BANK;BACI;BBG-CI;BDA;BGFIBank;BHCI;BICICI;BMS;BNI;BOA-CI;BRM-CI;BSIC-CI;CBI-CI;CITIBANK;CNCE;DBCI;ECOBANK-CI;GTBANK-CI;NSIA BANQUE;ORABANK;SCBCI;SGCI;SIB;STABIC BANK;UBA;VERSUSBANK
AFR;Afrique;CTN;Afrique;23778475897;83050000;4544473269;0;142678136;587089060;172541741;521925179;0;1056528615;1547379655;0;9999998;487853760;2384887241;0;130685619;4537042720;421310224;21190064;593869839;2714916220;0;2228145386;732959186;859949985;0
AME;Amérique;CTN;Amérique;14782160177;30000000;1759975151;88657659;234426999;36090470;88986687;310452777;0;786727272;439614586;0;69117850;280309098;1274626188;5831488;337606149;2756992430;162447751;522283919;372323688;2905156889;0;716682826;43100858;1560749443;0
ASI;Asie;CTN;Asie;17688590774;2901375;1840555979;16463209;133398396;401308639;1311914;313500893;0;605142861;1854208326;1215000;4783840;918217940;1709548048;0;491626516;4174966376;204708164;155325570;287681824;2199481292;0;1153246694;399309271;819688647;0
EUR;Europe;CTN;Europe;120439950116;168091878;15031616972;367568466;1150986590;2576479859;74221956;5935046304;69337791;5875488764;10708212101;9847461;265858023;2011221245;8394281269;0;743716763;15994604280;835454073;2007888222;2207497993;29148669893;15000000;9089128358;1096809944;5815679132;831088991
OCE;Océanie;CTN;Océanie;633589656;0;303870088;0;0;0;0;0;0;10535530;2248188;0;0;9741683;28896765;0;0;177970393;0;0;0;67173557;0;8000000;25153452;0;0
