ISO CODE,FEAT_NAME,CONTINENT,LEVEL,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD1,FLD2,FLD3,FLD4,FLD5,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD8,FLD9,FLD10,FLD11,FLD1,FLD2,FLD3,FLD4,FLD5,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD12,FLD13,FLD14,FLD15,FLD1,FLD2,FLD3,FLD4,FLD6,FLD7,FLD8,FLD9,FLD10,FLD11,FLD13,FLD14,FLD15,FLD16,FLD17,FLD18,FLD19,FLD20,FLD1,FLD3,FLD4,FLD5,FLD6
IE,Irlande,Europe,CTR,1692090780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16095863,3063500,0,13032363,0,0,0,0,0,0,1247935165,591265784,501262781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324368016,324368016,0,0,0
IL,Israël,Asie,CTR,1544315808,0,0,0,0,0,0,0,0,0,101551000,0,0,0,0,0,0,0,0,101551000,0,0,0,26811587,1639893,0,0,0,25171694,0,0,0,0,676394446,9,188419324,9,392684789,3918360,0,0,0,0,0,0,4137000,0,0,0,0,101365033,0,0,0,76884718,0,0,0,0,0,0,0,0,0,24480315,0,0,0,7809650,7809650,0,0,0
IT,Italie,Europe,CTR,4459584598,0,0,0,0,0,0,0,0,0,237308458,0,0,0,95592405,0,0,10000000,0,27276593,2623828,101815632,0,85495968,85495968,0,0,0,0,0,0,0,0,2469831180,186469352,5,356589878,6,47884862,112185481,126259759,0,0,0,0,2038296,48237660,0,0,1435952954,278033246,39880848,4919678,0,166213841,0,0,0,0,0,27550194,14539767,0,14201469,0,10727449,0,0,32806130,32806130,0,0,0
JP,Japon,Asie,CTR,57073214795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6877553,4250769,2626784,0,0,0,0,0,0,0,0,0,0,0,0,60596339,0,0,0,0,0,59692087,0,0,0,0,904252,0,0,0,0,0,0,16612295,3092923,13519372,0,0
JO,Jordanie,Asie,CTR,9390487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8518346,0,0,0,0,0,0,0,0,0,1753129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE,Kenya,Afrique,CTR,4288634859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77887807,25912807,0,0,51975000,0,0,0,0,0,352130700,2,200689587,27349943,16,660000,0,0,0,0,0,0,70349110,0,22781713,0,0,14106984,5200000,0,0,4706984,1700000,0,0,0,0,0,0,0,0,0,0,2500000,0,105170094,42053179,0,0,63116915
LV,Lettonie,Europe,CTR,180367915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171308939,10167333,22150506,0,0,0,0,0,0,0,29558466,0,109432634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1508701,1508701,0,0,0
LB,Liban,Asie,CTR,5648137853,0,0,0,0,0,0,0,0,0,1597781630,0,0,0,1501282278,73345381,0,3345381,0,0,16463209,0,0,165473199,16576703,0,0,0,125056808,12819610,11020078,0,0,859325936,242086310,430474925,7092000,53567517,0,0,0,0,0,34155125,0,7349316,0,0,260644790,0,0,0,260644790,0,0,0,0,0,0,0,0,0,0,0,0,0,98602720,98602720,0,0,0
LR,Liberia,Afrique,CTR,253920550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206232606,87240000,87420324,0,0,0,0,0,0,0,16572282,0,0,0,0,6807967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6807967,0,7675617,0,0,0,7675617
LT,Lituanie,Europe,CTR,33900813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7331112,6532583,798529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15087011,15087011,0,0,0
